,regimen,regimen_abbrev,regimen_name,regimen_name_formatted,van_deun_core_drug,van_deun_companion_drugs,van_deun,resistance_prevention,mechanism_of_action,route_of_administration,route_of_administration_hospitalized,cost,toxicity,qt_prolongation,high_bactericidal_activity_early,high_bactericidal_activity,high_sterilizing_activity,efficacy,bactericidal_activity_early,bactericidal_activity,sterilizing_activity,synergism,antagonism,contraindications,same_drug_class,first_line,clinical_evidence
13,"(0, 1, 2, 16)","LFX, LZD, IMI, RIF","['Levofloxacin', 'Linezolid', 'Imipenem', 'Rifampicin']","['levofloxacin', 'linezolid', 'imipenem', 'rifampicin']",True,True,True,12,True,False,True,501.02,6.75,False,True,True,True,True,12,13,16,0,0,0,0,1,10
14,"(0, 1, 2, 17)","LFX, LZD, IMI, RIF HD","['Levofloxacin', 'Linezolid', 'Imipenem', 'Rifampicin High Dose']","['levofloxacin', 'linezolid', 'imipenem', 'rifampicin_high_dose']",True,True,True,12,True,False,True,523.9,6.75,False,True,True,True,True,12,11,16,0,0,0,0,1,7
15,"(0, 1, 2, 18)","LFX, LZD, IMI, RBT","['Levofloxacin', 'Linezolid', 'Imipenem', 'Rifabutin']","['levofloxacin', 'linezolid', 'imipenem', 'rifabutin']",True,True,True,12,True,False,True,543.37,7.25,False,True,True,True,True,11,12,15,0,0,0,0,1,8
16,"(0, 1, 2, 19)","LFX, LZD, IMI, DLM","['Levofloxacin', 'Linezolid', 'Imipenem', 'Delamanid']","['levofloxacin', 'linezolid', 'imipenem', 'delamanid']",True,True,True,11,True,False,True,794.4,6.75,False,True,True,True,True,11,11,14,0,0,0,0,0,7
17,"(0, 1, 2, 20)","LFX, LZD, IMI, INH","['Levofloxacin', 'Linezolid', 'Imipenem', 'Isoniazid']","['levofloxacin', 'linezolid', 'imipenem', 'isoniazid']",True,True,True,12,True,False,True,486.38,6.75,False,True,True,True,True,14,13,14,0,0,0,0,1,10
18,"(0, 1, 2, 21)","LFX, LZD, IMI, INH HD","['Levofloxacin', 'Linezolid', 'Imipenem', 'Isoniazid High Dose']","['levofloxacin', 'linezolid', 'imipenem', 'isoniazid_high_dose']",True,True,True,12,True,False,True,487.0,7.0,False,True,True,True,True,13,13,14,0,0,0,0,1,8
19,"(0, 1, 2, 22)","LFX, LZD, IMI, PZA","['Levofloxacin', 'Linezolid', 'Imipenem', 'Pyrazinamide']","['levofloxacin', 'linezolid', 'imipenem', 'pyrazinamide']",True,True,True,10,True,False,True,487.77,6.75,False,True,True,True,True,10,12,15,0,0,0,0,1,10
21,"(0, 1, 3, 4)","LFX, LZD, MERO, MFX","['Levofloxacin', 'Linezolid', 'Meropenem', 'Moxifloxacin']","['levofloxacin', 'linezolid', 'meropenem', 'moxifloxacin']",True,True,True,12,False,False,True,393.97,7.0,False,True,True,True,True,14,13,14,0,0,0,1,0,9
22,"(0, 1, 3, 5)","LFX, LZD, MERO, MFX HD","['Levofloxacin', 'Linezolid', 'Meropenem', 'Moxifloxacin High Dose']","['levofloxacin', 'linezolid', 'meropenem', 'moxifloxacin_high_dose']",True,True,True,12,False,False,True,402.81,7.5,True,True,True,True,True,13,12,14,0,0,0,1,0,9
23,"(0, 1, 3, 6)","LFX, LZD, MERO, BDQ","['Levofloxacin', 'Linezolid', 'Meropenem', 'Bedaquiline']","['levofloxacin', 'linezolid', 'meropenem', 'bedaquiline']",True,True,True,11,True,False,True,450.12,6.75,False,True,True,True,True,11,11,16,0,0,0,0,0,9
24,"(0, 1, 3, 7)","LFX, LZD, MERO, AMI","['Levofloxacin', 'Linezolid', 'Meropenem', 'Amikacin']","['levofloxacin', 'linezolid', 'meropenem', 'amikacin']",True,True,True,12,False,False,True,428.13,8.75,False,True,True,True,True,11,11,13,0,0,0,0,0,9
25,"(0, 1, 3, 8)","LFX, LZD, MERO, CFZ","['Levofloxacin', 'Linezolid', 'Meropenem', 'Clofazimine']","['levofloxacin', 'linezolid', 'meropenem', 'clofazimine']",True,True,True,12,False,False,True,415.08,8.0,True,True,True,True,True,10,12,13,0,0,0,0,0,8
26,"(0, 1, 3, 9)","LFX, LZD, MERO, CS","['Levofloxacin', 'Linezolid', 'Meropenem', 'Cycloserine']","['levofloxacin', 'linezolid', 'meropenem', 'cycloserine']",True,True,True,11,False,False,True,417.82,8.5,False,True,True,True,True,11,12,13,0,0,0,0,0,8
27,"(0, 1, 3, 10)","LFX, LZD, MERO, TERI","['Levofloxacin', 'Linezolid', 'Meropenem', 'Terizidone']","['levofloxacin', 'linezolid', 'meropenem', 'terizidone']",True,True,True,11,False,False,True,604.72,8.75,False,True,True,True,True,11,12,13,0,0,0,0,0,8
28,"(0, 1, 3, 11)","LFX, LZD, MERO, STREP","['Levofloxacin', 'Linezolid', 'Meropenem', 'Streptomycin']","['levofloxacin', 'linezolid', 'meropenem', 'streptomycin']",True,True,True,12,False,False,True,404.64,8.75,False,True,True,True,True,11,11,13,0,0,0,0,0,8
29,"(0, 1, 3, 12)","LFX, LZD, MERO, EMB","['Levofloxacin', 'Linezolid', 'Meropenem', 'Ethambutol']","['levofloxacin', 'linezolid', 'meropenem', 'ethambutol']",True,True,True,11,True,False,True,387.31,6.75,False,True,True,True,True,11,12,12,0,0,0,0,1,10
30,"(0, 1, 3, 13)","LFX, LZD, MERO, PAS","['Levofloxacin', 'Linezolid', 'Meropenem', 'Para-aminosalicylic acid']","['levofloxacin', 'linezolid', 'meropenem', 'para_aminosalicylic_acid']",True,True,True,11,True,False,True,507.12,8.75,False,True,True,True,True,12,11,14,0,0,0,0,0,8
31,"(0, 1, 3, 14)","LFX, LZD, MERO, ETH","['Levofloxacin', 'Linezolid', 'Meropenem', 'Ethionamide']","['levofloxacin', 'linezolid', 'meropenem', 'ethionamide']",True,True,True,11,True,False,True,396.92,8.75,False,True,True,True,True,12,12,13,0,0,0,0,0,9
32,"(0, 1, 3, 15)","LFX, LZD, MERO, PTH","['Levofloxacin', 'Linezolid', 'Meropenem', 'Prothionamide']","['levofloxacin', 'linezolid', 'meropenem', 'prothionamide']",True,True,True,11,True,False,True,404.07,8.75,False,True,True,True,True,12,12,13,0,0,0,0,0,9
33,"(0, 1, 3, 16)","LFX, LZD, MERO, RIF","['Levofloxacin', 'Linezolid', 'Meropenem', 'Rifampicin']","['levofloxacin', 'linezolid', 'meropenem', 'rifampicin']",True,True,True,12,True,False,True,400.37,6.75,False,True,True,True,True,12,13,16,0,0,0,0,1,10
34,"(0, 1, 3, 17)","LFX, LZD, MERO, RIF HD","['Levofloxacin', 'Linezolid', 'Meropenem', 'Rifampicin High Dose']","['levofloxacin', 'linezolid', 'meropenem', 'rifampicin_high_dose']",True,True,True,12,True,False,True,423.25,6.75,False,True,True,True,True,12,11,16,0,0,0,0,1,7
35,"(0, 1, 3, 18)","LFX, LZD, MERO, RBT","['Levofloxacin', 'Linezolid', 'Meropenem', 'Rifabutin']","['levofloxacin', 'linezolid', 'meropenem', 'rifabutin']",True,True,True,12,True,False,True,442.72,7.25,False,True,True,True,True,11,12,15,0,0,0,0,1,8
36,"(0, 1, 3, 19)","LFX, LZD, MERO, DLM","['Levofloxacin', 'Linezolid', 'Meropenem', 'Delamanid']","['levofloxacin', 'linezolid', 'meropenem', 'delamanid']",True,True,True,11,True,False,True,693.75,6.75,False,True,True,True,True,11,11,14,0,0,0,0,0,7
37,"(0, 1, 3, 20)","LFX, LZD, MERO, INH","['Levofloxacin', 'Linezolid', 'Meropenem', 'Isoniazid']","['levofloxacin', 'linezolid', 'meropenem', 'isoniazid']",True,True,True,12,True,False,True,385.73,6.75,False,True,True,True,True,14,13,14,0,0,0,0,1,10
38,"(0, 1, 3, 21)","LFX, LZD, MERO, INH HD","['Levofloxacin', 'Linezolid', 'Meropenem', 'Isoniazid High Dose']","['levofloxacin', 'linezolid', 'meropenem', 'isoniazid_high_dose']",True,True,True,12,True,False,True,386.35,7.0,False,True,True,True,True,13,13,14,0,0,0,0,1,8
39,"(0, 1, 3, 22)","LFX, LZD, MERO, PZA","['Levofloxacin', 'Linezolid', 'Meropenem', 'Pyrazinamide']","['levofloxacin', 'linezolid', 'meropenem', 'pyrazinamide']",True,True,True,10,True,False,True,387.12,6.75,False,True,True,True,True,10,12,15,0,0,0,0,1,10
41,"(0, 1, 4, 5)","LFX, LZD, MFX, MFX HD","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Moxifloxacin High Dose']","['levofloxacin', 'linezolid', 'moxifloxacin', 'moxifloxacin_high_dose']",True,True,True,12,False,True,True,73.11,7.0,True,True,True,True,True,17,14,13,0,0,0,3,0,11
42,"(0, 1, 4, 6)","LFX, LZD, MFX, BDQ","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Bedaquiline']","['levofloxacin', 'linezolid', 'moxifloxacin', 'bedaquiline']",True,True,True,11,False,True,True,120.42,6.25,True,True,True,True,True,15,13,15,0,0,0,1,0,11
43,"(0, 1, 4, 7)","LFX, LZD, MFX, AMI","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Amikacin']","['levofloxacin', 'linezolid', 'moxifloxacin', 'amikacin']",True,True,True,12,False,False,True,98.43,8.25,False,True,True,True,True,15,13,12,0,0,0,1,0,11
44,"(0, 1, 4, 8)","LFX, LZD, MFX, CFZ","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Clofazimine']","['levofloxacin', 'linezolid', 'moxifloxacin', 'clofazimine']",True,True,True,12,False,True,True,85.38,7.5,True,True,True,True,True,14,14,12,0,0,0,1,0,10
45,"(0, 1, 4, 9)","LFX, LZD, MFX, CS","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Cycloserine']","['levofloxacin', 'linezolid', 'moxifloxacin', 'cycloserine']",True,True,True,11,False,True,True,88.12,8.0,False,True,True,True,True,15,14,12,0,0,0,1,0,10
46,"(0, 1, 4, 10)","LFX, LZD, MFX, TERI","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Terizidone']","['levofloxacin', 'linezolid', 'moxifloxacin', 'terizidone']",True,True,True,11,False,True,True,275.02,8.25,False,True,True,True,True,15,14,12,0,0,0,1,0,10
47,"(0, 1, 4, 11)","LFX, LZD, MFX, STREP","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Streptomycin']","['levofloxacin', 'linezolid', 'moxifloxacin', 'streptomycin']",True,True,True,12,False,True,True,74.94,8.25,False,True,True,True,True,15,13,12,0,0,0,1,0,10
48,"(0, 1, 4, 12)","LFX, LZD, MFX, EMB","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Ethambutol']","['levofloxacin', 'linezolid', 'moxifloxacin', 'ethambutol']",True,True,True,11,False,True,True,57.61,6.25,False,True,True,True,True,15,14,11,0,0,0,1,1,12
49,"(0, 1, 4, 13)","LFX, LZD, MFX, PAS","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Para-aminosalicylic acid']","['levofloxacin', 'linezolid', 'moxifloxacin', 'para_aminosalicylic_acid']",True,True,True,11,False,True,True,177.42000000000002,8.25,False,True,True,True,True,16,13,13,0,0,0,1,0,10
50,"(0, 1, 4, 14)","LFX, LZD, MFX, ETH","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Ethionamide']","['levofloxacin', 'linezolid', 'moxifloxacin', 'ethionamide']",True,True,True,11,False,True,True,67.22,8.25,False,True,True,True,True,16,14,12,0,0,0,1,0,11
51,"(0, 1, 4, 15)","LFX, LZD, MFX, PTH","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Prothionamide']","['levofloxacin', 'linezolid', 'moxifloxacin', 'prothionamide']",True,True,True,11,False,True,True,74.37,8.25,False,True,True,True,True,16,14,12,0,0,0,1,0,11
52,"(0, 1, 4, 16)","LFX, LZD, MFX, RIF","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Rifampicin']","['levofloxacin', 'linezolid', 'moxifloxacin', 'rifampicin']",True,True,True,12,False,True,True,70.67,6.25,False,True,True,True,True,16,15,15,0,1,0,1,1,12
53,"(0, 1, 4, 17)","LFX, LZD, MFX, RIF HD","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Rifampicin High Dose']","['levofloxacin', 'linezolid', 'moxifloxacin', 'rifampicin_high_dose']",True,True,True,12,False,True,True,93.55000000000001,6.25,False,True,True,True,True,16,13,15,0,1,0,1,1,9
54,"(0, 1, 4, 18)","LFX, LZD, MFX, RBT","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Rifabutin']","['levofloxacin', 'linezolid', 'moxifloxacin', 'rifabutin']",True,True,True,12,False,True,True,113.02000000000001,6.75,False,True,True,True,True,15,14,14,0,0,0,1,1,10
55,"(0, 1, 4, 19)","LFX, LZD, MFX, DLM","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Delamanid']","['levofloxacin', 'linezolid', 'moxifloxacin', 'delamanid']",True,True,True,11,False,True,True,364.05,6.25,True,True,True,True,True,15,13,13,0,0,0,1,0,9
56,"(0, 1, 4, 20)","LFX, LZD, MFX, INH","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Isoniazid']","['levofloxacin', 'linezolid', 'moxifloxacin', 'isoniazid']",True,True,True,12,False,True,True,56.03,6.25,False,True,True,True,True,18,15,13,0,0,0,1,1,12
57,"(0, 1, 4, 21)","LFX, LZD, MFX, INH HD","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Isoniazid High Dose']","['levofloxacin', 'linezolid', 'moxifloxacin', 'isoniazid_high_dose']",True,True,True,12,False,True,True,56.65,6.5,False,True,True,True,True,17,15,13,0,0,0,1,1,10
58,"(0, 1, 4, 22)","LFX, LZD, MFX, PZA","['Levofloxacin', 'Linezolid', 'Moxifloxacin', 'Pyrazinamide']","['levofloxacin', 'linezolid', 'moxifloxacin', 'pyrazinamide']",True,True,True,10,False,True,True,57.42,6.25,False,True,True,True,True,14,14,14,0,0,0,1,1,12
60,"(0, 1, 5, 6)","LFX, LZD, MFX HD, BDQ","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Bedaquiline']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'bedaquiline']",True,True,True,11,False,True,True,129.26,6.75,True,True,True,True,True,14,12,15,0,0,0,1,0,11
61,"(0, 1, 5, 7)","LFX, LZD, MFX HD, AMI","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Amikacin']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'amikacin']",True,True,True,12,False,False,True,107.27000000000001,8.75,True,True,True,True,True,14,12,12,0,0,0,1,0,11
62,"(0, 1, 5, 8)","LFX, LZD, MFX HD, CFZ","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Clofazimine']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'clofazimine']",True,True,True,12,False,True,True,94.22,8.0,True,True,True,True,True,13,13,12,0,0,0,1,0,10
63,"(0, 1, 5, 9)","LFX, LZD, MFX HD, CS","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Cycloserine']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'cycloserine']",True,True,True,11,False,True,True,96.96000000000001,8.5,True,True,True,True,True,14,13,12,0,0,0,1,0,10
64,"(0, 1, 5, 10)","LFX, LZD, MFX HD, TERI","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Terizidone']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'terizidone']",True,True,True,11,False,True,True,283.86,8.75,True,True,True,True,True,14,13,12,0,0,0,1,0,10
65,"(0, 1, 5, 11)","LFX, LZD, MFX HD, STREP","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Streptomycin']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'streptomycin']",True,True,True,12,False,True,True,83.78,8.75,True,True,True,True,True,14,12,12,0,0,0,1,0,10
66,"(0, 1, 5, 12)","LFX, LZD, MFX HD, EMB","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Ethambutol']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'ethambutol']",True,True,True,11,False,True,True,66.45,6.75,True,True,True,True,True,14,13,11,0,0,0,1,1,12
67,"(0, 1, 5, 13)","LFX, LZD, MFX HD, PAS","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Para-aminosalicylic acid']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'para_aminosalicylic_acid']",True,True,True,11,False,True,True,186.26,8.75,True,True,True,True,True,15,12,13,0,0,0,1,0,10
68,"(0, 1, 5, 14)","LFX, LZD, MFX HD, ETH","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Ethionamide']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'ethionamide']",True,True,True,11,False,True,True,76.06,8.75,True,True,True,True,True,15,13,12,0,0,0,1,0,11
69,"(0, 1, 5, 15)","LFX, LZD, MFX HD, PTH","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Prothionamide']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'prothionamide']",True,True,True,11,False,True,True,83.21000000000001,8.75,True,True,True,True,True,15,13,12,0,0,0,1,0,11
70,"(0, 1, 5, 16)","LFX, LZD, MFX HD, RIF","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Rifampicin']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'rifampicin']",True,True,True,12,False,True,True,79.51,6.75,True,True,True,True,True,15,14,15,0,1,0,1,1,12
71,"(0, 1, 5, 17)","LFX, LZD, MFX HD, RIF HD","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Rifampicin High Dose']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'rifampicin_high_dose']",True,True,True,12,False,True,True,102.39000000000001,6.75,True,True,True,True,True,15,12,15,0,1,0,1,1,9
72,"(0, 1, 5, 18)","LFX, LZD, MFX HD, RBT","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Rifabutin']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'rifabutin']",True,True,True,12,False,True,True,121.86000000000001,7.25,True,True,True,True,True,14,13,14,0,0,0,1,1,10
73,"(0, 1, 5, 19)","LFX, LZD, MFX HD, DLM","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Delamanid']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'delamanid']",True,True,True,11,False,True,True,372.89,6.75,True,True,True,True,True,14,12,13,0,0,0,1,0,9
74,"(0, 1, 5, 20)","LFX, LZD, MFX HD, INH","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Isoniazid']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'isoniazid']",True,True,True,12,False,True,True,64.87,6.75,True,True,True,True,True,17,14,13,0,0,0,1,1,12
75,"(0, 1, 5, 21)","LFX, LZD, MFX HD, INH HD","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Isoniazid High Dose']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'isoniazid_high_dose']",True,True,True,12,False,True,True,65.49000000000001,7.0,True,True,True,True,True,16,14,13,0,0,0,1,1,10
76,"(0, 1, 5, 22)","LFX, LZD, MFX HD, PZA","['Levofloxacin', 'Linezolid', 'Moxifloxacin High Dose', 'Pyrazinamide']","['levofloxacin', 'linezolid', 'moxifloxacin_high_dose', 'pyrazinamide']",True,True,True,10,False,True,True,66.26,6.75,True,True,True,True,True,13,13,14,0,0,0,1,1,12
78,"(0, 1, 6, 7)","LFX, LZD, BDQ, AMI","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Amikacin']","['levofloxacin', 'linezolid', 'bedaquiline', 'amikacin']",True,True,True,11,False,False,True,154.57999999999998,8.0,False,True,True,True,True,12,11,14,0,0,0,0,0,11
79,"(0, 1, 6, 8)","LFX, LZD, BDQ, CFZ","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Clofazimine']","['levofloxacin', 'linezolid', 'bedaquiline', 'clofazimine']",True,True,True,11,False,True,True,141.53,7.25,True,True,True,True,True,11,12,14,0,0,0,0,0,10
80,"(0, 1, 6, 9)","LFX, LZD, BDQ, CS","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Cycloserine']","['levofloxacin', 'linezolid', 'bedaquiline', 'cycloserine']",True,True,True,10,False,True,True,144.26999999999998,7.75,False,True,True,True,True,12,12,14,0,0,0,0,0,10
81,"(0, 1, 6, 10)","LFX, LZD, BDQ, TERI","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Terizidone']","['levofloxacin', 'linezolid', 'bedaquiline', 'terizidone']",True,True,True,10,False,True,True,331.16999999999996,8.0,False,True,True,True,True,12,12,14,0,0,0,0,0,10
82,"(0, 1, 6, 11)","LFX, LZD, BDQ, STREP","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Streptomycin']","['levofloxacin', 'linezolid', 'bedaquiline', 'streptomycin']",True,True,True,11,False,True,True,131.09,8.0,False,True,True,True,True,12,11,14,0,0,0,0,0,10
83,"(0, 1, 6, 12)","LFX, LZD, BDQ, EMB","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Ethambutol']","['levofloxacin', 'linezolid', 'bedaquiline', 'ethambutol']",True,True,True,10,True,True,True,113.75999999999999,6.0,False,True,True,True,True,12,12,13,0,0,0,0,1,12
84,"(0, 1, 6, 13)","LFX, LZD, BDQ, PAS","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Para-aminosalicylic acid']","['levofloxacin', 'linezolid', 'bedaquiline', 'para_aminosalicylic_acid']",True,True,True,10,True,True,True,233.57,8.0,False,True,True,True,True,13,11,15,0,0,0,0,0,10
85,"(0, 1, 6, 14)","LFX, LZD, BDQ, ETH","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Ethionamide']","['levofloxacin', 'linezolid', 'bedaquiline', 'ethionamide']",True,True,True,10,True,True,True,123.36999999999999,8.0,False,True,True,True,True,13,12,14,0,0,0,0,0,11
86,"(0, 1, 6, 15)","LFX, LZD, BDQ, PTH","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Prothionamide']","['levofloxacin', 'linezolid', 'bedaquiline', 'prothionamide']",True,True,True,10,True,True,True,130.51999999999998,8.0,False,True,True,True,True,13,12,14,0,0,0,0,0,11
87,"(0, 1, 6, 16)","LFX, LZD, BDQ, RIF","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Rifampicin']","['levofloxacin', 'linezolid', 'bedaquiline', 'rifampicin']",True,True,True,11,True,True,True,126.82,6.0,False,True,True,True,True,13,13,17,0,1,0,0,1,12
88,"(0, 1, 6, 17)","LFX, LZD, BDQ, RIF HD","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Rifampicin High Dose']","['levofloxacin', 'linezolid', 'bedaquiline', 'rifampicin_high_dose']",True,True,True,11,True,True,True,149.7,6.0,False,True,True,True,True,13,11,17,0,1,0,0,1,9
89,"(0, 1, 6, 18)","LFX, LZD, BDQ, RBT","['Levofloxacin', 'Linezolid', 'Bedaquiline', 'Rifabutin']","['levofloxacin', 'linezolid', 'bedaquiline', 'rifabutin']",True,True,True,11,True,True,True,169.17,6.5,False,True,True,True,True,12,12,16,0,0,0,0,1,10
